name,dail,prev
Fry, Space. It seems to go on and on forever. But then you get to the end and the gorilla starts throwing barrels at you.,
Fry, how you play the game!, Space. It seems to go on and on forever. But then you get to the end and the gorilla starts throwing barrels at you.
Boy," You stink, loser!", how you play the game!
Panucci," Hey, Fry. Pizza goin' out! C'mon!!"," You stink, loser!"
Fry," Michelle, baby! Where you going?"," Hey, Fry. Pizza goin' out! C'mon!!"
Michelle, I put your stuff out on the sidewalk!," Michelle, baby! Where you going?"
Fry," I hate my life, I hate my life, I hate my life.", I put your stuff out on the sidewalk!
Bike Thief, Happy new year!," I hate my life, I hate my life, I hate my life."
Fry, Here's to another lousy millennium., Happy new year!
Crowd, Ten!, Here's to another lousy millennium.
Crowd, Neuf!, Ten!
Crowd, Otto!, Neuf!
Crowd, Saba!, Otto!
Crowd, Eksi!, Saba!
Crowd, Wu!, Eksi!
Crowd, Char!, Wu!
Crowd, Thathu!, Char!
Crowd, Nee!, Thathu!
Crowd, One!, Nee!
Fry, What the--?, One!
Fry," My God! It's the future. My parents, my co-workers, my girlfriend; I'll never see any of them again. Yahoo!", What the--?
Terry, Welcome to the world of tomorrow!," My God! It's the future. My parents, my co-workers, my girlfriend; I'll never see any of them again. Yahoo!"
Lou, Why do you always have to say it that way?, Welcome to the world of tomorrow!
Terry," Come, your destiny awaits!", Why do you always have to say it that way?
Lou, Have a nice future.," Come, your destiny awaits!"
Fry, Ow!, Have a nice future.
Leela, Name?, Ow!
Fry," Uh, Fry.", Name?
Leela," I'm Leela. Now, it's New Year's Eve so I'd like to decide your fate quickly and get out of here."," Uh, Fry."
Fry, Can I ask you a question?," I'm Leela. Now, it's New Year's Eve so I'd like to decide your fate quickly and get out of here."
Leela, As long as it's not about my eye., Can I ask you a question?
Fry, Uh..., As long as it's not about my eye.
Leela, Is it about my eye?, Uh...
Fry, Sort of., Is it about my eye?
Leela, Just ask the question., Sort of.
Fry, What's with the eye?, Just ask the question.
Leela," I'm an alien, alright? Now let's drop the subject.", What's with the eye?
Fry," Cool, an alien! Has your race taken over the Earth?"," I'm an alien, alright? Now let's drop the subject."
Leela," No, I just work here."," Cool, an alien! Has your race taken over the Earth?"
Fry, Wait a minute! Is that blimp accurate?," No, I just work here."
Leela," Yep. It's December 31st, 2999.", Wait a minute! Is that blimp accurate?
Fry, My God! A million years!," Yep. It's December 31st, 2999."
Leela, I'm sure this must be very upsetting for you., My God! A million years!
Fry," Y'know, I guess it should be but, actually, I'm glad. I had nothing to live for in my old life. I was broke, I had a humiliating job and I was beginning to suspect my girlfriend might be cheating on me.", I'm sure this must be very upsetting for you.
Leela,," Y'know, I guess it should be but, actually, I'm glad. I had nothing to live for in my old life. I was broke, I had a humiliating job and I was beginning to suspect my girlfriend might be cheating on me."
Leela, Interesting. Your DNA test shows one living relative. He's your great-great-great-great-great-great-great...,
Leela, ...great-great-great-great-great nephew., Interesting. Your DNA test shows one living relative. He's your great-great-great-great-great-great-great...
Fry, That's great! What's the little guy's name?, ...great-great-great-great-great nephew.
Leela, Professor Hubert Farnsworth., That's great! What's the little guy's name?
Fry, Eurgh!, Professor Hubert Farnsworth.
Fry, What's that?, Eurgh!
Leela, Your permanent career assignment., What's that?
Fry, Delivery boy? No! Not again! Please! Anything else!, Your permanent career assignment.
Leela, Take your hands off me! You've been assigned the job you're best at just like everyone else., Delivery boy? No! Not again! Please! Anything else!
Fry, What if I refuse?, Take your hands off me! You've been assigned the job you're best at just like everyone else.
Leela, Then you'll be fired--, What if I refuse?
Fry, Fine!, Then you'll be fired--
Leela, Out of a cannon into the Sun!, Fine!
Fry, But I don't like being a delivery boy., Out of a cannon into the Sun!
Leela, You gotta do what you gotta do. Now hold out your hand. I'm gonna implant your career chip. It'll permanently label you as a delivery boy., But I don't like being a delivery boy.
