,0,raw,name
0,"Fry: Space. It seems to go on and on forever. But then you get to the end and the gorilla starts throwing barrels at you.
","Fry: Space. It seems to go on and on forever. But then you get to the end and the gorilla starts throwing barrels at you.
",Fry
1,"Fry how you play the game!
","Fry how you play the game!
","Fry how you play the game!
"
2,"Boy: You stink, loser!
","Boy: You stink, loser!
",Boy
3,"Panucci: Hey, Fry. Pizza goin' out! C'mon!!
","Panucci: Hey, Fry. Pizza goin' out! C'mon!!
",Panucci
4,"Fry: Michelle, baby! Where you going?
","Fry: Michelle, baby! Where you going?
",Fry
5,"Michelle I put your stuff out on the sidewalk!
","Michelle I put your stuff out on the sidewalk!
","Michelle I put your stuff out on the sidewalk!
"
6,"Fry: I hate my life, I hate my life, I hate my life.
","Fry: I hate my life, I hate my life, I hate my life.
",Fry
7,"Bike Thief: Happy new year!
","Bike Thief: Happy new year!
",Bike Thief
8,"Fry Here's to another lousy millennium.
","Fry Here's to another lousy millennium.
","Fry Here's to another lousy millennium.
"
9,"Crowd: Ten!
","Crowd: Ten!
",Crowd
10,"Crowd: Neuf!
","Crowd: Neuf!
",Crowd
11,"Crowd: Otto!
","Crowd: Otto!
",Crowd
12,"Crowd: Saba!
","Crowd: Saba!
",Crowd
13,"Crowd: Eksi!
","Crowd: Eksi!
",Crowd
14,"Crowd: Wu!
","Crowd: Wu!
",Crowd
15,"Crowd: Char!
","Crowd: Char!
",Crowd
16,"Crowd: Thathu!
","Crowd: Thathu!
",Crowd
17,"Crowd: Nee!
","Crowd: Nee!
",Crowd
18,"Crowd: One!
","Crowd: One!
",Crowd
19,"Fry: What the--?
","Fry: What the--?
",Fry
20,"Fry: My God! It's the future. My parents, my co-workers, my girlfriend; I'll never see any of them again. Yahoo!
","Fry: My God! It's the future. My parents, my co-workers, my girlfriend; I'll never see any of them again. Yahoo!
",Fry
21,"Terry: Welcome to the world of tomorrow!
","Terry: Welcome to the world of tomorrow!
",Terry
22,"Lou: Why do you always have to say it that way?
","Lou: Why do you always have to say it that way?
",Lou
23,"Terry Come, your destiny awaits!
","Terry Come, your destiny awaits!
","Terry Come, your destiny awaits!
"
24,"Lou: Have a nice future.
","Lou: Have a nice future.
",Lou
25,"Fry Ow!
","Fry Ow!
","Fry Ow!
"
26,"Leela Name?
","Leela Name?
","Leela Name?
"
27,"Fry: Uh, Fry.
","Fry: Uh, Fry.
",Fry
28,"Leela: I'm Leela. Now, it's New Year's Eve so I'd like to decide your fate quickly and get out of here.
","Leela: I'm Leela. Now, it's New Year's Eve so I'd like to decide your fate quickly and get out of here.
",Leela
29,"Fry: Can I ask you a question?
","Fry: Can I ask you a question?
",Fry
30,"Leela: As long as it's not about my eye.
","Leela: As long as it's not about my eye.
",Leela
31,"Fry: Uh...
","Fry: Uh...
",Fry
32,"Leela: Is it about my eye?
","Leela: Is it about my eye?
",Leela
33,"Fry: Sort of.
","Fry: Sort of.
",Fry
34,"Leela: Just ask the question.
","Leela: Just ask the question.
",Leela
35,"Fry: What's with the eye?
","Fry: What's with the eye?
",Fry
36,"Leela: I'm an alien, alright? Now let's drop the subject.
","Leela: I'm an alien, alright? Now let's drop the subject.
",Leela
37,"Fry: Cool, an alien! Has your race taken over the Earth?
","Fry: Cool, an alien! Has your race taken over the Earth?
",Fry
38,"Leela: No, I just work here.
","Leela: No, I just work here.
",Leela
39,"Fry: Wait a minute! Is that blimp accurate?
","Fry: Wait a minute! Is that blimp accurate?
",Fry
40,"Leela: Yep. It's December 31st, 2999.
","Leela: Yep. It's December 31st, 2999.
",Leela
41,"Fry: My God! A million years!
","Fry: My God! A million years!
",Fry
42,"Leela: I'm sure this must be very upsetting for you.
","Leela: I'm sure this must be very upsetting for you.
",Leela
43,"Fry: Y'know, I guess it should be but, actually, I'm glad. I had nothing to live for in my old life. I was broke, I had a humiliating job and I was beginning to suspect my girlfriend might be cheating on me.
","Fry: Y'know, I guess it should be but, actually, I'm glad. I had nothing to live for in my old life. I was broke, I had a humiliating job and I was beginning to suspect my girlfriend might be cheating on me.
",Fry
44,"Leela.
","Leela.
","Leela.
"
45,"Leela: Interesting. Your DNA test shows one living relative. He's your great-great-great-great-great-great-great...
","Leela: Interesting. Your DNA test shows one living relative. He's your great-great-great-great-great-great-great...
",Leela
46,"Leela: ...great-great-great-great-great nephew.
","Leela: ...great-great-great-great-great nephew.
",Leela
47,"Fry: That's great! What's the little guy's name?
","Fry: That's great! What's the little guy's name?
",Fry
48,"Leela: Professor Hubert Farnsworth.
","Leela: Professor Hubert Farnsworth.
",Leela
49,"Fry: Eurgh!
","Fry: Eurgh!
",Fry
50,"Fry What's that?
","Fry What's that?
","Fry What's that?
"
51,"Leela: Your permanent career assignment.
","Leela: Your permanent career assignment.
",Leela
52,"Fry: Delivery boy? No! Not again! Please! Anything else!
","Fry: Delivery boy? No! Not again! Please! Anything else!
",Fry
53,"Leela: Take your hands off me! You've been assigned the job you're best at just like everyone else.
","Leela: Take your hands off me! You've been assigned the job you're best at just like everyone else.
",Leela
54,"Fry: What if I refuse?
","Fry: What if I refuse?
",Fry
55,"Leela: Then you'll be fired--
","Leela: Then you'll be fired--
",Leela
56,"Fry: Fine!
","Fry: Fine!
",Fry
57,"Leela: Out of a cannon into the Sun!
","Leela: Out of a cannon into the Sun!
",Leela
58,"Fry: But I don't like being a delivery boy.
","Fry: But I don't like being a delivery boy.
",Fry
59,"Leela You gotta do what you gotta do. Now hold out your hand. I'm gonna implant your career chip. It'll permanently label you as a delivery boy.
","Leela You gotta do what you gotta do. Now hold out your hand. I'm gonna implant your career chip. It'll permanently label you as a delivery boy.
","Leela You gotta do what you gotta do. Now hold out your hand. I'm gonna implant your career chip. It'll permanently label you as a delivery boy.
"
60,"Fry: Keep that thing away from me!
","Fry: Keep that thing away from me!
",Fry
61,"Leela You've got until the count of five to let me out of here. One--
","Leela You've got until the count of five to let me out of here. One--
","Leela You've got until the count of five to let me out of here. One--
"
62,"Fry You owe me one.
","Fry You owe me one.
","Fry You owe me one.
"
63,"Fry: Whoa!
","Fry: Whoa!
",Fry
64,"Man #1: JFK Jr. Airport.
","Man #1: JFK Jr. Airport.
",Man #1
65,"Man #1.
","Man #1.
","Man #1.
"
66,"Fry Um. Cross Town Express?
","Fry Um. Cross Town Express?
","Fry Um. Cross Town Express?
"
67,"Man #2: Pft! Tourist!
","Man #2: Pft! Tourist!
",Man #2
68,"Fry Wow! A real live robot! Or is that some kind of cheesy New Year's costume?
","Fry Wow! A real live robot! Or is that some kind of cheesy New Year's costume?
","Fry Wow! A real live robot! Or is that some kind of cheesy New Year's costume?
"
69,"Bender.
","Bender.
","Bender.
"
70,"Fry: It doesn't look so shiny to me.
","Fry: It doesn't look so shiny to me.
",Fry
71,"Bender: Shinier than yours, meatbag!
","Bender: Shinier than yours, meatbag!
",Bender
72,"Bender: Listen, buddy, I'm in a hurry here. Let's try for a two-fer!
","Bender: Listen, buddy, I'm in a hurry here. Let's try for a two-fer!
",Bender
73,"Booth Voice: Please select mode of death: ""Quick and Painless"" or ""Slow and Horrible"".
","Booth Voice: Please select mode of death: ""Quick and Painless"" or ""Slow and Horrible"".
",Booth Voice
74,"Fry: Yeah, I'd like to place a collect call.
","Fry: Yeah, I'd like to place a collect call.
",Fry
75,"Booth Voice: You have selected: ""Slow and Horrible"".
","Booth Voice: You have selected: ""Slow and Horrible"".
",Booth Voice
76,"Bender Bring it on, baby!
","Bender Bring it on, baby!
","Bender Bring it on, baby!
"
77,"Bender: C'mon, c'mon! Kill me already! By the way, my name's Bender!
","Bender: C'mon, c'mon! Kill me already! By the way, my name's Bender!
",Bender
78,"Fry: Help! What's happening?
","Fry: Help! What's happening?
",Fry
79,"Booth Voice: You are now dead. Thank you for using Stop-N-Drop, America's favourite suicide booth since 2008.
","Booth Voice: You are now dead. Thank you for using Stop-N-Drop, America's favourite suicide booth since 2008.
",Booth Voice
80,"Bender Well, I didn't have anything else planned for today. Let's go get drunk!
","Bender Well, I didn't have anything else planned for today. Let's go get drunk!
","Bender Well, I didn't have anything else planned for today. Let's go get drunk!
"
81,"Leela: Two, three-- Hey!
","Leela: Two, three-- Hey!
",Leela
82,"Terry: Welcome to the world of tomorrow!
","Terry: Welcome to the world of tomorrow!
",Terry
